fecha_solicitud,alcaldia,colonia,tipo_poblacion,grado_estudios,ocupacion,numero_de_dependientes,tipo_dependientes,es_jubilado,tiene_ingreso_extra,tiene_discapacidad,tiempo_buscando_empleo,temporal_fecha_solicitud,..anio_fecha_solicitud
2019-06-06,Iztapalapa,Santa María Aztahuacán,Población General,Bachillerato,"Auxiliares en administración, contabilidad y finanzas",1,Padres,No,No,Ninguna,0 a 3 meses,2019-06,2019
2019-06-06,La Magdalena Contreras,Las Cruces,Población General,Bachillerato,Administradores y mercadólogos,2,Padres,No,No,Ninguna,Más de 1 año,2019-06,2019
2019-06-06,Xochimilco,San Juan Tepepan,Población General,Licenciatura,"Ingenieros químicos, mecánicos, industriales, mineros y metalúrgicos",1,Cónyuge,No,No,Ninguna,Más de 1 año,2019-06,2019
2019-06-06,Gustavo A. Madero,Nueva Tenochtitlan,Población General,Maestría,"Contadores, auditores, especialistas en finanzas y en economía",2,Padres,No,No,Ninguna,3 a 6 meses,2019-06,2019
2019-06-06,Tláhuac,Del Mar,Población General,Licenciatura,Enfermeras y técnicos en medicina,1,Cónyuge,No,Sí,Ninguna,Más de 1 año,2019-06,2019
2019-06-06,Benito Juárez,Del Valle Sur,Población General,Licenciatura,Otros especialistas en salud,1,Cónyuge,No,No,Otra,Más de 1 año,2019-06,2019
2019-06-06,Coyoacán,Culhuacán CTM Sección VIII,Población General,Licenciatura,Otro,2,Padres,No,No,Ninguna,Más de 1 año,2019-06,2019
2019-06-06,Coyoacán,Barrio Oxtopulco Universidad,Población General,Licenciatura,Administradores y mercadólogos,2,Padres,No,No,Ninguna,3 a 6 meses,2019-06,2019
2019-06-06,Azcapotzalco,San Álvaro,Población General,Licenciatura,Administradores y mercadólogos,1,Padres,No,No,Ninguna,0 a 3 meses,2019-06,2019
2019-06-06,Cuauhtémoc,Juárez,Pob. Vul. Afectados Por Sismo,Licenciatura,"Autores, periodistas y traductores",1,Padres,No,No,Ninguna,0 a 3 meses,2019-06,2019
2019-06-06,Iztapalapa,Granjas de San Antonio,Población General,Licenciatura,Investigadores y especialistas en ciencias humanistas,2,Padres,No,No,Ninguna,0 a 3 meses,2019-06,2019
2019-06-06,Cuauhtémoc,Buenavista,Población General,Licenciatura,Investigadores y especialistas en sistemas computacionales,1,Padres,No,No,Ninguna,6 meses a 1 año,2019-06,2019
2019-06-06,Coyoacán,Villa Quietud,Población General,Licenciatura,"Diseñadores de modas, industriales, gráficos y decoradores de interiores",2,Padres,No,Sí,Ninguna,3 a 6 meses,2019-06,2019
2019-06-06,Iztapalapa,Santa Martha Acatitla,Pob. Vul. Afectados Por Sismo,Licenciatura,Administradores y mercadólogos,1,Padres,No,No,Ninguna,0 a 3 meses,2019-06,2019
2019-06-06,Álvaro Obregón,Progreso Tizapan,Población General,Bachillerato,"Cajeros, cobradores y pagadores",3,Cónyuge Y Padres,No,No,Ninguna,6 meses a 1 año,2019-06,2019
2019-06-06,Venustiano Carranza,Álvaro Obregón,Población General,Licenciatura,"Otros especialistas y técnicos, no clasificados anteriormente",1,Cónyuge,No,No,Ninguna,6 meses a 1 año,2019-06,2019
